일시,일반겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
2000,2816,4109,115709
2001,2732,4246,116001
2002,2491,4391,109380
2003,3029,1835,55582
2004,2782,4708,130977
2005,1719,4664,80174
2006,2356,4663,109860
2007,1868,4929,92074
2008,1795,4809,86322
2009,1944,4858,94440
2010,1567,4236,66378
2011,2322,4602,106858
2012,1049,5065,53132
2013,1712,4326,74061
2014,1292,3809,49212
2015,951,3549,33751
2016,1017,4459,45348
2017,1468,4623,67870
2018,1437,5605,80541
2019,1109,5274,58494
2020,1423,5385,76624
2021,1231,4912,60477
