일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,7.9,19.4,-3.7,27.4,518.29
2000,13.0,25.3,2.5,27.2,523.9
2000,19.5,33.6,9.3,53.2,582.23
2001,9.1,24.6,-3.2,5.6,481.38
2001,15.8,27.3,3.2,19.5,595.83
2001,20.5,31.6,8.7,61.1,606.41
2002,10.1,24.5,-1.2,50.5,462.51
2002,15.6,29.3,3.4,72.5,521.43
2002,18.5,30.3,8.1,94.2,561.45
2003,7.8,20.9,-3.1,41.1,427.59
2003,14.1,27.6,2.3,150.0,467.88
2003,18.5,29.1,4.6,233.7,543.9
2004,8.4,23.7,-5.2,12.5,493.64
2004,15.4,30.4,3.6,75.6,557.83
2004,19.4,32.0,9.3,82.8,525.88
2005,7.2,21.6,-4.1,67.1,525.05
2005,16.0,31.5,1.6,44.8,592.0
2005,19.5,30.8,9.7,32.6,694.14
2006,8.2,20.2,-5.9,11.5,438.35
2006,13.4,30.1,3.6,64.9,426.87
2006,18.9,30.9,8.8,120.3,480.66
2007,8.8,22.7,-4.4,64.7,414.17
2007,14.2,27.6,2.2,24.7,513.87
2007,19.9,32.7,11.3,44.5,613.17
2008,9.1,19.5,-2.0,23.8,465.25
2008,14.8,28.9,3.4,54.5,541.74
2008,19.7,33.6,8.0,82.5,631.98
2009,9.0,26.6,-2.0,19.2,492.2
2009,15.4,29.7,3.2,21.3,578.65
2009,20.9,34.4,11.6,104.4,636.34
2010,6.9,24.5,-2.7,59.1,349.02
2010,11.5,26.5,1.5,63.5,475.65
2010,19.4,32.9,7.6,97.5,601.07
2011,7.0,22.5,-3.4,16.5,533.88
2011,13.7,28.6,1.8,104.5,529.36
2011,18.8,29.1,9.3,156.8,534.8
2012,7.7,20.8,-3.4,82.1,471.41
2012,15.1,30.2,2.4,74.4,593.66
2012,20.1,31.8,11.0,50.6,639.9
2013,9.8,26.9,-2.3,55.1,569.91
2013,12.3,28.4,1.0,60.5,561.93
2013,20.3,34.4,8.7,70.5,676.87
2014,9.7,26.4,-1.1,110.5,474.7
2014,15.5,27.9,4.6,105.0,542.89
2014,21.2,37.4,8.5,24.4,761.34
2015,9.2,24.1,-4.8,50.5,566.32
2015,14.6,30.0,3.9,82.7,488.72
2015,21.7,34.5,9.6,34.7,750.05
2016,8.8,22.4,-4.6,67.5,459.3
2016,14.9,27.2,4.0,151.0,507.0
2016,20.0,32.3,8.2,65.0,655.45
2017,7.9,20.2,-2.5,38.4,490.83
2017,15.7,31.1,2.1,53.0,575.09
2017,20.8,35.9,8.5,33.1,668.09
2018,9.2,25.9,-2.8,98.7,470.41
2018,15.0,32.0,0.5,113.0,559.89
2018,19.2,32.0,7.2,99.7,569.94
2019,9.4,24.2,-1.5,20.7,500.7
2019,13.5,27.1,0.2,88.0,480.63
2019,20.7,34.5,7.2,25.7,702.36
2020,9.5,25.4,-2.9,24.5,540.59
2020,12.6,28.0,1.3,32.4,647.86
2020,19.4,31.3,9.1,38.1,661.45
2021,10.2,23.9,-1.5,95.2,489.34
2021,14.5,29.5,2.5,43.0,616.96
2021,18.3,30.8,7.1,90.9,598.19
2014,8.8,25.4,-2.5,106.5,429.31
2014,14.5,26.7,3.4,88.5,497.01
2014,20.2,36.8,6.3,25.5,694.04
2015,8.2,23.4,-5.3,44.4,512.64
2015,13.6,29.6,2.5,76.4,454.25
2015,20.7,34.3,8.0,30.5,687.75
